4407157,14.69,10307.03,1/1,0:0:0
5252079,17.51,13841.87,1/1,0:0:0
5828750,19.43,16737.11,1/1,0:0:0
4863307,16.21,12117.96,1/1,0:0:0
3133222,10.44,6270.19,1/1,0:0:0
883246,2.94,1526.71,1/1,0:0:0
4577331,15.26,10957.22,1/1,0:0:0
3473640,11.58,7219.72,1/1,0:0:0
2410959,8.04,4505.14,1/1,0:0:0
731813,2.44,1262.45,1/1,0:0:0
3520655,11.74,7357.61,1/1,0:0:0
3100237,10.33,6182.53,1/1,0:0:0
2597718,8.66,4932.58,1/1,0:0:0
1703348,5.68,3031.93,1/1,0:0:0
3095890,10.32,6171.04,1/1,0:0:0
1295491,4.32,2263.86,1/1,0:0:0
1872756,6.24,3366.24,1/1,0:0:0
1457564,4.86,2563.52,1/1,0:0:0
4909005,16.36,12311.66,1/1,0:0:0
4371995,14.57,10176.31,1/1,0:0:0
2183035,7.28,4007.18,1/1,0:0:0
1010047,3.37,1750.27,1/1,0:0:0
933857,3.11,1615.66,1/1,0:0:0
2085921,6.95,3802.27,1/1,0:0:0
753058,2.51,1299.38,1/1,0:0:0
1830453,6.10,3281.80,1/1,0:0:0
1356419,4.52,2375.74,1/1,0:0:0
434765,1.45,749.58,1/1,0:0:0
967230,3.22,1674.52,1/1,0:0:0
732289,2.44,1263.28,1/1,0:0:0
5795690,19.32,16559.53,1/1,0:0:0
3255083,10.85,6600.52,1/1,0:0:0
2136362,7.12,3908.18,1/1,0:0:0
2429537,8.10,4546.84,1/1,0:0:0
1811501,6.04,3244.19,1/1,0:0:0
342563,1.14,591.08,1/1,0:0:0
628318,2.09,1083.14,1/1,0:0:0
827399,2.76,1428.95,1/1,0:0:0
535033,1.78,922.16,1/1,0:0:0
1148589,3.83,1997.54,1/1,0:0:0
2316781,7.72,4296.37,1/1,0:0:0
2301879,7.67,4263.73,1/1,0:0:0
975807,3.25,1689.67,1/1,0:0:0
1740637,5.80,3104.66,1/1,0:0:0
961181,3.20,1663.84,1/1,0:0:0
582860,1.94,1004.63,1/1,0:0:0
6516213,21.72,20774.94,1/1,0:0:0
4262630,14.21,9777.45,1/1,0:0:0
3259613,10.87,6613.00,1/1,0:0:0
7316732,24.39,26380.67,1/1,0:0:0
3739763,12.47,8023.25,1/1,0:0:0
5837613,19.46,16784.97,1/1,0:0:0
1535888,5.12,2710.83,1/1,0:0:0
2264200,7.55,4181.68,1/1,0:0:0
4652673,15.51,11254.58,1/1,0:0:0
5038898,16.80,12875.04,1/1,0:0:0
3586822,11.96,7554.58,1/1,0:0:0
3264363,10.88,6626.10,1/1,0:0:0
3077482,10.26,6122.49,1/1,0:0:0
5697369,18.99,16039.98,1/1,0:0:0
4304817,14.35,9929.93,1/1,0:0:0
3666671,12.22,7796.90,1/1,0:0:0
5779141,19.26,16471.19,1/1,0:0:0
6001306,20.00,17687.96,1/1,0:0:0
5358036,17.86,14342.54,1/1,0:0:0
2545652,8.49,4811.56,1/1,0:0:0
1906497,6.35,3434.07,1/1,0:0:0
5066722,16.89,12998.22,1/1,0:0:0
3056916,10.19,6068.52,1/1,0:0:0
2108417,7.03,3849.37,1/1,0:0:0
2689223,8.96,5148.93,1/1,0:0:0
2338068,7.79,4343.18,1/1,0:0:0
1591769,5.31,2817.02,1/1,0:0:0
2363812,7.88,4400.08,1/1,0:0:0
3220764,10.74,6506.44,1/1,0:0:0
4947074,16.49,12474.80,1/1,0:0:0
4317007,14.39,9974.31,1/1,0:0:0
822604,2.74,1420.57,1/1,0:0:0
8468562,28.23,36394.71,1/1,0:0:0
6028673,20.10,17842.52,1/1,0:0:0
8954849,29.85,41391.83,1/1,0:0:0
3831156,12.77,8312.53,1/1,0:0:0
838789,2.80,1448.86,1/1,0:0:0
1677531,5.59,2981.85,1/1,0:0:0
